Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature,GDP
Eastern Mediterranean,Kuwait,2019,Female,0.74,0.5,1.07,77.1413698630137,30666.220367346436
Eastern Mediterranean,Jordan,2019,Female,0.93,0.61,1.37,62.50547945205479,4159.671441750038
Americas,Honduras,2019,Female,0.98,0.53,1.69,68.82767123287671,2519.367422545348
Americas,Panama,2019,Female,0.98,0.64,1.43,77.65315068493152,16472.831754845563
Eastern Mediterranean,Oman,2019,Female,1.12,0.66,1.78,63.0241610738255,19132.15076523388
Americas,Bahamas,2019,Female,1.23,0.81,1.8,76.20986301369862,33564.69573385209
South-East Asia,Indonesia,2019,Female,1.15,0.88,1.5,81.00931506849315,4151.227554541349
Western Pacific,Philippines,2019,Female,1.32,1.01,9.65,80.48164383561644,3413.8490672027515
Eastern Mediterranean,Lebanon,2019,Female,1.67,0.88,2.8,67.85972602739726,8987.165235262877
Eastern Mediterranean,Qatar,2019,Female,1.69,1.01,2.63,81.38575342465754,62827.39695430236
Americas,Colombia,2019,Female,1.71,1.14,2.44,55.08767123287672,6438.0601829042935
Eastern Mediterranean,Tunisia,2019,Female,1.84,0.91,3.16,64.67041095890411,3477.842996491768
Americas,Belize,2019,Female,1.83,1.29,2.52,78.84876712328767,6134.2152327837675
Africa,Algeria,2019,Female,1.9,1.01,3.13,62.29698630136987,4021.9836024106503
Americas,Dominican Republic,2019,Female,1.85,1.07,3.02,75.61808219178081,8173.344645803636
Eastern Mediterranean,Saudi Arabia,2019,Female,1.91,1.11,3.08,78.69410958904109,23405.706108770533
Americas,Nicaragua,2019,Female,1.91,1.22,2.81,79.15835616438356,1905.6375060957484
Americas,Costa Rica,2019,Female,1.93,1.26,2.79,70.66931506849315,12669.341161735572
Eastern Mediterranean,Morocco,2019,Male,10.07,4.48,18.47,59.73150684931507,3551.0912359602585
Africa,Nigeria,2019,Male,10.13,6.03,17.16,80.33123287671233,2334.0172723874666
Americas,Cuba,2019,Both sexes,10.19,7.46,18.01,73.86191780821918,9139.415856057649
Americas,Guatemala,2019,Male,10.31,7.21,14.21,64.95780821917808,4511.328719962381
Americas,Canada,2019,Both sexes,10.34,8.35,14.8,36.24027397260274,46469.22720143606
