Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature,GDP,Population,Happiness Index
Eastern Mediterranean,Kuwait,2019,Female,0.74,0.5,1.07,77.1413698630137,30666.220367346436,4441100.0,6.106
Eastern Mediterranean,Jordan,2019,Female,0.93,0.61,1.37,62.50547945205479,4159.671441750038,10698683.0,4.453
Americas,Honduras,2019,Female,0.98,0.53,1.69,68.82767123287671,2519.367422545348,9958829.0,5.93
Americas,Panama,2019,Female,0.98,0.64,1.43,77.65315068493152,16472.831754845563,4232532.0,6.086
Eastern Mediterranean,Oman,2019,Female,1.12,0.66,1.78,63.0241610738255,19132.15076523388,4602768.0,6.853
South-East Asia,Indonesia,2019,Female,1.15,0.88,1.5,81.00931506849315,4151.227554541349,269582878.0,5.347
Western Pacific,Philippines,2019,Female,1.32,1.01,9.65,80.48164383561644,3413.8490672027515,110380804.0,6.268
Eastern Mediterranean,Lebanon,2019,Female,1.67,0.88,2.8,67.85972602739726,8987.165235262877,5781907.0,4.024
Americas,Colombia,2019,Female,1.71,1.14,2.44,55.08767123287672,6438.0601829042935,50187406.0,6.35
Eastern Mediterranean,Tunisia,2019,Female,1.84,0.91,3.16,64.67041095890411,3477.842996491768,12049314.0,4.315
Americas,Belize,2019,Female,1.83,1.29,2.52,78.84876712328767,6134.2152327837675,389095.0,6.2035
Africa,Algeria,2019,Female,1.9,1.01,3.13,62.29698630136987,4021.9836024106503,42705368.0,4.745
Americas,Dominican Republic,2019,Female,1.85,1.07,3.02,75.61808219178081,8173.344645803636,10881882.0,6.004
Eastern Mediterranean,Saudi Arabia,2019,Female,1.91,1.11,3.08,78.69410958904109,23405.706108770533,35827362.0,6.561
Americas,Nicaragua,2019,Female,1.91,1.22,2.81,79.15835616438356,1905.6375060957484,6663924.0,6.113
Americas,Costa Rica,2019,Female,1.93,1.26,2.79,70.66931506849315,12669.341161735572,5084532.0,6.998
Eastern Mediterranean,Morocco,2019,Male,10.07,4.48,18.47,59.73150684931507,3551.0912359602585,36304408.0,5.057
Africa,Nigeria,2019,Male,10.13,6.03,17.16,80.33123287671233,2334.0172723874666,203304492.0,4.266
Americas,Cuba,2019,Both sexes,10.19,7.46,18.01,73.86191780821918,9139.415856057649,11316697.0,5.418
Americas,Guatemala,2019,Male,10.31,7.21,14.21,64.95780821917808,4511.328719962381,16604026.0,6.262
Americas,Canada,2019,Both sexes,10.34,8.35,14.8,36.24027397260274,46469.22720143606,37618495.0,7.109
Western Pacific,New Zealand,2019,Both sexes,10.3,8.6,12.24,57.93972602739726,42943.494146244775,4979200.0,7.205
Americas,Brazil,2019,Male,10.32,9.34,17.75,70.8766210045662,8883.903092241835,211782878.0,6.451
Africa,Uganda,2019,Both sexes,10.45,6.43,16.47,66.44246575342466,879.5241424518402,42949080.0,4.948
Europe,Austria,2019,Both sexes,10.4,8.59,12.5,51.81753424657535,50067.47296099458,8879920.0,7.195
Europe,Bulgaria,2019,Male,10.57,7.53,14.31,50.733698630136985,9767.173367811269,6975761.0,5.108
Africa,Senegal,2019,Both sexes,10.99,6.52,17.15,73.56301369863014,1462.6783520711049,16000781.0,5.489
Africa,Kenya,2019,Both sexes,11.01,7.75,15.47,64.67561643835616,1970.0800629653995,50951450.0,4.619
South-East Asia,India,2019,Female,11.12,8.56,14.27,78.27410958904109,2064.0512908052497,1383112050.0,3.249
Europe,Denmark,2019,Male,11.1,8.82,13.82,46.86493150684932,59783.649338656745,5814422.0,7.693
Americas,Haiti,2019,Both sexes,11.17,5.74,18.52,73.38301369863014,1260.2869670747727,11160438.0,3.9309230769230767
Europe,Iceland,2019,Both sexes,11.15,8.71,13.97,40.08054794520548,68412.2016810945,360563.0,7.533
Western Pacific,Australia,2019,Both sexes,11.25,9.27,16.5,61.28761643835616,54407.64462080841,25334826.0,7.234
Europe,Portugal,2019,Male,11.58,9.2,14.43,59.2945205479452,23322.518802026178,10286263.0,6.095
Americas,Suriname,2019,Female,11.79,7.47,17.42,76.90438356164383,7087.787593483165,600301.0,6.269
Europe,Hungary,2019,Both sexes,11.77,8.86,15.37,51.51945205479451,16785.088465995297,9771141.0,6.0
Western Pacific,Japan,2019,Both sexes,12.24,11.61,12.87,55.25077625570776,40686.26776488963,126633000.0,5.908
Africa,Guinea,2019,Both sexes,12.33,6.72,20.44,62.41530054644809,1043.9035115883423,12877539.0,4.768
Europe,Sweden,2019,Both sexes,12.37,10.52,14.39,44.18,51994.89528538041,10278887.0,7.398
Europe,Romania,2019,Male,12.62,9.5,16.4,53.04383561643836,12856.689173670482,19371648.0,6.13
Western Pacific,Singapore,2019,Male,12.67,10.26,15.41,80.32438356164384,64236.5278764376,5703569.0,6.448
Africa,Benin,2019,Both sexes,12.71,7.57,20.41,79.42986301369864,1170.9658792195055,12290444.0,4.976
Europe,Germany,2019,Male,12.8,10.5,15.39,48.25071225071225,46774.0774776299,83092962.0,7.035
South-East Asia,Sri Lanka,2019,Both sexes,12.89,8.32,21.0,78.87123287671233,4111.610249585678,21803000.0,4.213
South-East Asia,India,2019,Both sexes,12.91,9.29,16.5,78.27410958904109,2064.0512908052497,1383112050.0,3.249
Africa,Gabon,2019,Both sexes,13.11,7.5,21.26,77.58684931506849,7523.862278460201,2242785.0,4.914
Africa,Madagascar,2019,Male,13.33,7.9,21.15,64.46657534246575,512.2796655827365,27533134.0,4.339
Americas,Costa Rica,2019,Male,13.35,9.33,18.34,70.66931506849315,12669.341161735572,5084532.0,6.998
Europe,Finland,2019,Both sexes,13.43,10.94,16.13,41.52849315068493,48630.46593232076,5521606.0,7.78
Europe,Norway,2019,Male,13.4,12.19,14.78,39.80958904109589,76425.11561365644,5347896.0,7.442
Americas,Argentina,2019,Male,13.48,10.76,16.58,60.407123287671226,10006.693110619826,44938712.0,6.086
Africa,Namibia,2019,Both sexes,13.51,7.62,22.65,65.51780821917808,5126.073108153393,2446644.0,4.436
Americas,Belize,2019,Male,13.64,9.89,18.24,78.84876712328767,6134.2152327837675,389095.0,6.2035
Europe,Belgium,2019,Both sexes,13.93,11.49,16.63,50.01342465753425,46554.24513801604,11488980.0,6.772
Europe,Switzerland,2019,Male,14.16,11.52,17.24,49.04392694063927,84113.28662971577,8575280.0,7.694
Europe,Ireland,2019,Male,14.32,11.39,17.79,47.38602739726028,81481.09923743273,4934340.0,7.255
Eastern Mediterranean,Pakistan,2019,Male,14.55,6.61,27.79,28.234246575342464,1307.3335009782547,223293280.0,4.443
South-East Asia,India,2019,Male,14.69,10.04,18.72,78.27410958904109,2064.0512908052497,1383112050.0,3.249
Africa,Togo,2019,Both sexes,14.81,8.76,23.28,77.80739726027397,848.3045343333605,8243094.0,4.179
Americas,Haiti,2019,Male,14.87,7.31,24.78,73.38301369863014,1260.2869670747727,11160438.0,3.9309230769230767
Europe,France,2019,Male,15.16,12.3,21.73,54.09767123287671,40915.376825761254,67388001.0,6.69
Americas,Canada,2019,Male,15.35,12.49,18.42,36.24027397260274,46469.22720143606,37618495.0,7.109
Western Pacific,New Zealand,2019,Male,15.39,12.97,18.17,57.93972602739726,42943.494146244775,4979200.0,7.205
Europe,Poland,2019,Male,16.46,13.06,20.72,49.365753424657534,15484.611924427803,37965475.0,6.242
Europe,Austria,2019,Male,16.56,13.77,19.75,51.81753424657535,50067.47296099458,8879920.0,7.195
Americas,Cuba,2019,Male,16.67,12.28,30.67,73.86191780821918,9139.415856057649,11316697.0,5.418
Europe,Sweden,2019,Male,16.95,14.45,19.64,44.18,51994.89528538041,10278887.0,7.398
Western Pacific,Australia,2019,Male,16.97,14.11,26.08,61.28761643835616,54407.64462080841,25334826.0,7.234
Western Pacific,Japan,2019,Male,17.53,16.71,18.35,55.25077625570776,40686.26776488963,126633000.0,5.908
Western Pacific,Mongolia,2019,Both sexes,18.02,11.01,28.04,29.263835616438353,4394.947150112733,3232430.0,5.563
Africa,Kenya,2019,Male,18.05,12.58,25.68,64.67561643835616,1970.0800629653995,50951450.0,4.619
Africa,Guinea,2019,Male,18.36,9.72,30.52,62.41530054644809,1043.9035115883423,12877539.0,4.768
Africa,Senegal,2019,Male,18.53,11.12,28.75,73.56301369863014,1462.6783520711049,16000781.0,5.489
South-East Asia,Nepal,2019,Male,18.56,10.12,28.73,62.714520547945206,1188.5288874857758,28832496.0,5.449
Europe,Iceland,2019,Male,18.67,14.75,23.14,40.08054794520548,68412.2016810945,360563.0,7.533
Americas,Uruguay,2019,Both sexes,18.83,15.07,23.13,59.540547945205475,18098.361548791,3428409.0,6.6
Europe,Hungary,2019,Male,19.15,14.57,24.73,51.51945205479451,16785.088465995297,9771141.0,6.0
Africa,Uganda,2019,Male,19.39,12.05,30.65,66.44246575342466,879.5241424518402,42949080.0,4.948
Europe,Belgium,2019,Male,19.55,16.31,23.12,50.01342465753425,46554.24513801604,11488980.0,6.772
Eastern Mediterranean,Jordan,2019,Both sexes,1.98,1.29,2.9,62.50547945205479,4159.671441750038,10698683.0,4.453
Europe,Italy,2019,Female,2.08,1.85,6.75,56.89835616438357,33674.39875245384,59729081.0,6.445
Europe,Albania,2019,Female,2.22,1.44,3.25,59.467123287671235,5359.239078357407,2854191.0,4.995
Americas,Mexico,2019,Female,2.18,1.73,2.7,65.32584474885844,10434.56743883823,125085311.0,6.432
Eastern Mediterranean,Bahrain,2019,Female,2.27,1.52,3.27,79.97232876712329,25869.206182092556,1494188.0,7.098
Western Pacific,Malaysia,2019,Female,2.39,1.46,3.66,79.98109589041096,11132.10526349743,32804020.0,5.428
Europe,Romania,2019,Female,2.37,1.69,3.2,53.04383561643836,12856.689173670482,19371648.0,6.13
Europe,Poland,2019,Female,2.43,1.85,3.16,49.365753424657534,15484.611924427803,37965475.0,6.242
Americas,Guatemala,2019,Female,2.53,1.72,3.55,64.95780821917808,4511.328719962381,16604026.0,6.262
Western Pacific,Philippines,2019,Both sexes,2.54,1.81,9.34,80.48164383561644,3413.8490672027515,110380804.0,6.268
Americas,Honduras,2019,Both sexes,2.58,1.34,4.98,68.82767123287671,2519.367422545348,9958829.0,5.93
Africa,Algeria,2019,Both sexes,2.6,1.41,4.44,62.29698630136987,4021.9836024106503,42705368.0,4.745
Eastern Mediterranean,United Arab Emirates,2019,Female,2.63,1.49,4.3,81.73095890410958,45376.17083815792,9211657.0,6.711
South-East Asia,Indonesia,2019,Both sexes,2.55,1.81,3.45,81.00931506849315,4151.227554541349,269582878.0,5.347
Eastern Mediterranean,Kuwait,2019,Both sexes,2.66,1.85,3.73,77.1413698630137,30666.220367346436,4441100.0,6.106
Eastern Mediterranean,Lebanon,2019,Both sexes,2.76,1.43,5.04,67.85972602739726,8987.165235262877,5781907.0,4.024
Europe,Spain,2019,Female,2.83,2.21,3.53,58.2565296803653,29583.693322770436,47134837.0,6.457
Americas,Brazil,2019,Female,2.76,2.47,6.68,70.8766210045662,8883.903092241835,211782878.0,6.451
South-East Asia,Nepal,2019,Female,2.94,1.66,4.76,62.714520547945206,1188.5288874857758,28832496.0,5.449
Europe,Bulgaria,2019,Female,2.86,1.93,4.09,50.733698630136985,9767.173367811269,6975761.0,5.108
Americas,Panama,2019,Both sexes,2.86,1.92,4.08,77.65315068493152,16472.831754845563,4232532.0,6.086
Europe,Finland,2019,Male,20.09,16.44,23.98,41.52849315068493,48630.46593232076,5521606.0,7.78
Africa,Benin,2019,Male,20.29,12.28,32.25,79.42986301369864,1170.9658792195055,12290444.0,4.976
South-East Asia,Sri Lanka,2019,Male,20.94,13.39,35.07,78.87123287671233,4111.610249585678,21803000.0,4.213
Africa,Central African Republic,2019,Both sexes,22.96,12.75,37.6,62.85260273972603,426.2785602438487,5209324.0,3.388909090909091
Africa,Mozambique,2019,Both sexes,23.19,13.59,36.38,72.40630136986302,512.2157610346017,30285595.0,4.932
Africa,Gabon,2019,Male,23.31,13.41,37.68,77.58684931506849,7523.862278460201,2242785.0,4.914
Africa,South Africa,2019,Both sexes,23.49,16.22,32.13,60.399726027397264,6702.526591226513,58087055.0,5.035
