Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature
Eastern Mediterranean,Kuwait,2019,Female,0.74,0.5,1.07,77.1413698630137
Eastern Mediterranean,Jordan,2019,Female,0.93,0.61,1.37,62.50547945205479
Americas,Honduras,2019,Female,0.98,0.53,1.69,68.82767123287671
Americas,Panama,2019,Female,0.98,0.64,1.43,77.65315068493152
Eastern Mediterranean,Oman,2019,Female,1.12,0.66,1.78,63.0241610738255
Americas,Bahamas,2019,Female,1.23,0.81,1.8,76.20986301369862
South-East Asia,Indonesia,2019,Female,1.15,0.88,1.5,81.00931506849315
Western Pacific,Philippines,2019,Female,1.32,1.01,9.65,80.48164383561644
Eastern Mediterranean,Lebanon,2019,Female,1.67,0.88,2.8,67.85972602739726
Eastern Mediterranean,Qatar,2019,Female,1.69,1.01,2.63,81.38575342465754
Americas,Colombia,2019,Female,1.71,1.14,2.44,55.08767123287672
Eastern Mediterranean,Tunisia,2019,Female,1.84,0.91,3.16,64.67041095890411
Americas,Belize,2019,Female,1.83,1.29,2.52,78.84876712328767
Africa,Algeria,2019,Female,1.9,1.01,3.13,62.29698630136987
Americas,Dominican Republic,2019,Female,1.85,1.07,3.02,75.61808219178081
Eastern Mediterranean,Saudi Arabia,2019,Female,1.91,1.11,3.08,78.69410958904109
Americas,Nicaragua,2019,Female,1.91,1.22,2.81,79.15835616438356
Americas,Costa Rica,2019,Female,1.93,1.26,2.79,70.66931506849315
Eastern Mediterranean,Morocco,2019,Male,10.07,4.48,18.47,59.73150684931507
Africa,Nigeria,2019,Male,10.13,6.03,17.16,80.33123287671233
Americas,Cuba,2019,Both sexes,10.19,7.46,18.01,73.86191780821918
Americas,Guatemala,2019,Male,10.31,7.21,14.21,64.95780821917808
Americas,Canada,2019,Both sexes,10.34,8.35,14.8,36.24027397260274
Western Pacific,New Zealand,2019,Both sexes,10.3,8.6,12.24,57.93972602739726
Americas,Brazil,2019,Male,10.32,9.34,17.75,70.8766210045662
Africa,Uganda,2019,Both sexes,10.45,6.43,16.47,66.44246575342466
Europe,Austria,2019,Both sexes,10.4,8.59,12.5,51.81753424657535
Europe,Bulgaria,2019,Male,10.57,7.53,14.31,50.733698630136985
Africa,Senegal,2019,Both sexes,10.99,6.52,17.15,73.56301369863014
Africa,Kenya,2019,Both sexes,11.01,7.75,15.47,64.67561643835616
Europe,Croatia,2019,Both sexes,11.01,7.85,15.03,54.0
South-East Asia,India,2019,Female,11.12,8.56,14.27,78.27410958904109
Europe,Denmark,2019,Male,11.1,8.82,13.82,46.86493150684932
Americas,Haiti,2019,Both sexes,11.17,5.74,18.52,73.38301369863014
Europe,Iceland,2019,Both sexes,11.15,8.71,13.97,40.08054794520548
Western Pacific,Australia,2019,Both sexes,11.25,9.27,16.5,61.28761643835616
Africa,Congo,2019,Both sexes,11.62,6.88,18.39,76.16328767123288
