country_name, 2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
United States,NaN,7.182,7.513,7.280,7.158,7.164,7.115,7.026,7.249,7.151,6.864,6.804,6.992,6.883,6.944,7.028,6.959,6.693,
Japan,6.516,6.377*,6.238,5.911,5.845,6.057,6.263,5.968,5.959,5.923,5.880,5.955,5.911,5.794,5.908,6.118,6.091,6.178,
India,NaN,5.348,5.027,5.146,4.522,4.989,4.635,4.720,4.428,4.424,4.342,4.179,4.046,3.818,3.249,4.224,3.558,3.930,
France,7.093,6.583,6.796*,7.008,6.283,6.798,6.959,6.649,6.667,6.467,6.358,6.475,6.635,6.666,6.690,6.714,6.656,6.614,
China,NaN,4.560,4.863,4.846,4.454,4.653,5.037,5.095,5.241,5.196,5.304,5.325,5.099,5.131,5.144,5.771,5.863,NaN,
Portugal,NaN,5.405,5.561*,5.717,5.406*,5.095,5.220,4.994,5.158,5.127,5.081,5.447,5.711,5.920,6.095,5.768,6.183,5.953,
Ecuador,NaN,5.024,4.996,5.297,6.022,5.838,5.795,5.961,6.019,5.946,5.964,6.115,5.840,6.128,5.809,5.354,5.435,5.887,
Australia,7.341,7.313*,7.285,7.254,7.352*,7.450,7.406,7.196,7.364,7.289,7.309,7.250,7.257,7.177,7.234,7.137,7.112,7.035,
Philippines,NaN,4.670,5.074,4.589,4.880,4.942,4.994,5.002,4.977,5.313,5.547,5.431,5.594,5.869,6.268,5.080,5.965,NaN,
Spain,7.153,7.074*,6.995,7.294,6.199,6.188,6.518,6.291,6.150,6.456,6.381,6.319,6.230,6.513,6.457,6.502,6.470,6.337,
Maldives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.198,NaN,NaN,NaN,NaN,
United Kingdom,6.984,6.893*,6.802,6.986,6.907,7.029,6.869,6.881,6.918,6.758,6.515,6.824,7.103,7.233,7.157,6.798,6.867,6.722,
Greece,6.006,6.327*,6.647,6.343*,6.039,5.840,5.372,5.096,4.720,4.756,5.623,5.303,5.148,5.409,5.952,5.788,6.104,5.900,
Denmark,8.019,7.926*,7.834,7.971,7.683,7.771,7.788,7.520,7.589,7.508,7.514,7.558,7.594,7.649,7.693,7.515,7.699,7.545,
Puerto Rico,NaN,NaN,NaN,NaN,6.418,6.850,6.592,6.611,6.532*,6.454*,6.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
Canada,7.418,7.450*,7.482,7.486,7.488,7.650,7.426,7.415,7.594,7.304,7.413,7.245,7.415,7.175,7.109,7.025,6.939,6.918,
