SuicideRate_Type,BothSexes,Male,Female,BothSexes,Male,Female,BothSexes,Male,Female,Male_Avg,Female_Avg,Both_Avg
Year,2021,2021,2021,2020,2020,2020,2019,2019,2019,,,
Category,,,,,,,,,,,,
Afghanistan,3.6,4.16,3.01,3.63,4.18,3.04,4.1,4.6,3.6,4.3133333333333335,3.216666666666667,3.776666666666667
Albania,4.1,5.28,2.91,4.02,5.16,2.87,4.3,5.9,2.7,5.446666666666668,2.8266666666666667,4.14
Algeria,2.76,3.6,1.9,2.76,3.59,1.91,2.5,3.1,1.8,3.4299999999999997,1.8699999999999999,2.6733333333333333
American Samoa,8.04,11.97,3.93,8.46,12.59,4.14,,,,12.280000000000001,4.035,8.25
Andorra,7.89,12.22,3.31,7.92,12.26,3.33,,,,12.24,3.3200000000000003,7.904999999999999
Angola,6.95,11.28,2.87,6.9,11.2,2.85,6.1,10.0,2.3,10.826666666666666,2.6733333333333333,6.650000000000001
Antigua and Barbuda,1.38,2.5,0.3,1.49,2.74,0.29,0.4,,0.8,2.62,0.4633333333333334,1.09
Argentina,10.47,17.29,3.99,11.01,18.19,4.17,8.4,13.7,3.3,16.393333333333334,3.8200000000000003,9.96
Armenia,5.53,8.86,2.44,5.6,8.92,2.5,3.3,5.6,1.3,7.793333333333334,2.0799999999999996,4.81
Australia,12.86,19.8,6.08,12.87,19.73,6.17,12.5,18.6,6.4,19.37666666666667,6.216666666666666,12.743333333333332
Austria,14.34,22.34,6.55,14.92,23.15,6.91,14.6,22.8,6.7,22.763333333333332,6.72,14.62
Azerbaijan,2.5,3.91,1.08,2.48,3.87,1.09,4.1,6.6,1.6,4.793333333333333,1.2566666666666666,3.026666666666667
Bahamas,2.61,4.75,0.62,2.61,4.74,0.61,3.5,5.9,1.3,5.13,0.8433333333333334,2.9066666666666663
Bahrain,4.28,6.02,1.33,4.31,6.05,1.34,8.9,12.5,2.4,8.19,1.6900000000000002,5.830000000000001
Bangladesh,3.67,5.18,2.21,3.7,5.18,2.26,3.7,5.7,1.7,5.353333333333333,2.0566666666666666,3.69
Barbados,4.67,8.22,1.36,4.79,8.43,1.41,0.6,0.9,0.3,5.849999999999999,1.0233333333333332,3.3533333333333335
Belarus,20.44,35.68,7.16,20.14,35.07,7.13,21.2,36.7,7.7,35.81666666666667,7.329999999999999,20.593333333333334
Belgium,17.3,25.49,9.36,15.93,23.33,8.75,18.3,24.9,11.8,24.573333333333334,9.97,17.176666666666666
Belize,5.09,8.88,1.34,5.03,8.78,1.33,7.1,12.5,1.7,10.053333333333333,1.4566666666666668,5.739999999999999
Benin,5.32,8.32,2.41,5.38,8.43,2.43,7.8,11.8,3.8,9.516666666666667,2.8800000000000003,6.166666666666667
Bermuda,3.99,7.06,1.11,3.72,6.58,1.04,,,,6.82,1.0750000000000002,3.8550000000000004
Bhutan,5.75,7.57,3.79,5.74,7.54,3.79,4.6,6.3,2.7,7.136666666666667,3.426666666666667,5.363333333333333
Bolivia,5.53,7.61,3.44,5.55,7.61,3.48,6.2,8.4,4.1,7.873333333333334,3.6733333333333333,5.760000000000001
Bosnia and Herzegovina,10.7,17.41,4.29,11.52,18.77,4.57,10.9,17.6,4.5,17.926666666666666,4.453333333333333,11.04
Botswana,9.72,15.73,3.84,9.76,15.77,3.9,16.1,26.3,6.4,19.266666666666666,4.713333333333334,11.86
Brazil,7.78,12.47,3.3,7.75,12.46,3.25,6.9,10.9,3.0,11.943333333333333,3.1833333333333336,7.476666666666667
Brunei,4.05,6.17,1.68,4.33,6.63,1.77,2.7,4.4,0.8,5.733333333333334,1.4166666666666667,3.693333333333333
Bulgaria,13.3,20.72,6.34,13.45,21.13,6.23,9.7,15.3,4.4,19.049999999999997,5.656666666666666,12.15
Burkina Faso,6.56,10.43,2.93,6.6,10.5,2.95,7.5,11.3,3.7,10.743333333333334,3.193333333333334,6.886666666666667
Burundi,7.13,10.94,3.3,7.14,10.96,3.31,6.2,9.2,3.4,10.366666666666665,3.3366666666666664,6.823333333333333
Cambodia,4.54,6.46,2.7,4.53,6.42,2.7,4.9,7.0,2.8,6.626666666666666,2.733333333333333,4.656666666666667
