Country,Temperature (∞C)
Burkina Faso,30.40∞C (86.72∞F)
Mali,29.21∞C (84.58∞F)
Aruba,29.17∞C (84.51∞F)
Senegal,28.90∞C (84.02∞F)
Mauritania,28.82∞C (83.88∞F)
Tokelau,28.71∞C (83.68∞F)
Tuvalu,28.62∞C (83.52∞F)
Djibouti,28.49∞C (83.28∞F)
Cura√ßao,28.40∞C (83.12∞F)
Gambia,28.38∞C (83.08∞F)
United Arab Emirates,28.17∞C (82.71∞F)
Maldives,28.11∞C (82.60∞F)
Niger,28.04∞C (82.47∞F)
Benin,28.02∞C (82.44∞F)
Qatar,28.02∞C (82.44∞F)
Marshall Islands,28.01∞C (82.42∞F)
Guinea-Bissau,27.98∞C (82.36∞F)
South Sudan,27.97∞C (82.35∞F)
Sudan,27.95∞C (82.31∞F)
Palau,27.90∞C (82.22∞F)
Nauru,27.83∞C (82.09∞F)
Cayman Islands,27.82∞C (82.08∞F)
Guam,27.81∞C (82.06∞F)
Kiribati,27.77∞C (81.99∞F)
Anguilla,27.71∞C (81.88∞F)
Saint Martin,27.71∞C (81.88∞F)
Sint Maarten,27.71∞C (81.88∞F)
Bahrain,27.69∞C (81.84∞F)
Singapore,27.68∞C (81.82∞F)
Ghana,27.66∞C (81.79∞F)
Oman,27.64∞C (81.75∞F)
Chad,27.63∞C (81.73∞F)
British Indian Ocean Territory,27.61∞C (81.70∞F)
Northern Mariana Islands,27.60∞C (81.68∞F)
Samoa,27.58∞C (81.64∞F)
Caribbean Netherlands,27.47∞C (81.45∞F)
Saint Kitts and Nevis,27.47∞C (81.45∞F)
Cambodia,27.41∞C (81.34∞F)
American Samoa,27.38∞C (81.28∞F)
Togo,27.33∞C (81.19∞F)
Nigeria,27.30∞C (81.14∞F)
Wallis and Futuna,27.30∞C (81.14∞F)
Federated States of Micronesia,27.28∞C (81.10∞F)
Sri Lanka,27.25∞C (81.05∞F)
Antigua and Barbuda,27.20∞C (80.96∞F)
Seychelles,27.09∞C (80.76∞F)
Saint Lucia,27.00∞C (80.60∞F)
United States Virgin Islands,26.98∞C (80.56∞F)
Brunei,26.95∞C (80.51∞F)
Somalia,26.95∞C (80.51∞F)
Thailand,26.85∞C (80.33∞F)
Dominica,26.83∞C (80.29∞F)
Ivory Coast,26.80∞C (80.24∞F)
Cocos (Keeling) Islands,26.79∞C (80.22∞F)
British Virgin Islands,26.70∞C (80.06∞F)
Eritrea,26.63∞C (79.93∞F)
Barbados,26.61∞C (79.90∞F)
Suriname,26.58∞C (79.84∞F)
Trinidad and Tobago,26.55∞C (79.79∞F)
Sierra Leone,26.54∞C (79.77∞F)
Grenada,26.49∞C (79.68∞F)
Malaysia,26.38∞C (79.48∞F)
Kuwait,26.31∞C (79.36∞F)
Turks and Caicos Islands,26.29∞C (79.32∞F)
Philippines,26.27∞C (79.29∞F)
Saint Vincent and the Grenadines,26.17∞C (79.11∞F)
Guyana,26.12∞C (79.02∞F)
Christmas Island,26.06∞C (78.91∞F)
Indonesia,25.96∞C (78.73∞F)
Saudi Arabia,25.94∞C (78.69∞F)
Solomon Islands,25.92∞C (78.66∞F)
Jamaica,25.91∞C (78.64∞F)
Nicaragua,25.88∞C (78.58∞F)
Guinea,25.86∞C (78.55∞F)
Cuba,25.81∞C (78.46∞F)
Montserrat,25.75∞C (78.35∞F)
Bangladesh,25.71∞C (78.28∞F)
Venezuela,25.71∞C (78.28∞F)
Belize,25.70∞C (78.26∞F)
Panama,25.60∞C (78.08∞F)
Bahamas,25.58∞C (78.04∞F)
Yemen,25.54∞C (77.97∞F)
Central African Republic,25.47∞C (77.85∞F)
Liberia,25.45∞C (77.81∞F)
Brazil,25.44∞C (77.79∞F)
El Salvador,25.23∞C (77.41∞F)
Gabon,25.20∞C (77.36∞F)
Kenya,25.08∞C (77.14∞F)
Puerto Rico,25.04∞C (77.07∞F)
Niue,25.03∞C (77.05∞F)
Tonga,25.01∞C (77.02∞F)
Colombia,25.00∞C (77.00∞F)
United States Minor Outlying Islands,24.97∞C (76.95∞F)
Haiti,24.95∞C (76.91∞F)
India,24.94∞C (76.89∞F)
