IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,15-24 years,AGEGROUP_YEARS15-24,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,25-34 years of age,AGEGROUP_YEARS25-34,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,35-44 years of age,AGEGROUP_YEARS35-44,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,45-54 years of age,AGEGROUP_YEARS45-54,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,65-74 years of age,AGEGROUP_YEARS65-74,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,75-84 years of age,AGEGROUP_YEARS75-84,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,85+ years,AGEGROUP_YEARS85PLUS,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-24 years,AGEGROUP_YEARS15-24,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,25-34 years of age,AGEGROUP_YEARS25-34,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,35-44 years of age,AGEGROUP_YEARS35-44,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,45-54 years of age,AGEGROUP_YEARS45-54,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,65-74 years of age,AGEGROUP_YEARS65-74,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,75-84 years of age,AGEGROUP_YEARS75-84,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,85+ years,AGEGROUP_YEARS85PLUS,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Male,SEX_MLE,Age Group,15-24 years,AGEGROUP_YEARS15-24,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Male,SEX_MLE,Age Group,25-34 years of age,AGEGROUP_YEARS25-34,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Male,SEX_MLE,Age Group,35-44 years of age,AGEGROUP_YEARS35-44,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Male,SEX_MLE,Age Group,45-54 years of age,AGEGROUP_YEARS45-54,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Male,SEX_MLE,Age Group,55-64 years of age,AGEGROUP_YEARS55-64,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Male,SEX_MLE,Age Group,65-74 years of age,AGEGROUP_YEARS65-74,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Male,SEX_MLE,Age Group,75-84 years of age,AGEGROUP_YEARS75-84,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,true,Sex,Male,SEX_MLE,Age Group,85+ years,AGEGROUP_YEARS85PLUS,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,15-24 years,AGEGROUP_YEARS15-24,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,25-34 years of age,AGEGROUP_YEARS25-34,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,55-64 years of age,AGEGROUP_YEARS55-64,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,65-74 years of age,AGEGROUP_YEARS65-74,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,85+ years,AGEGROUP_YEARS85PLUS,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-24 years,AGEGROUP_YEARS15-24,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,25-34 years of age,AGEGROUP_YEARS25-34,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,35-44 years of age,AGEGROUP_YEARS35-44,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,45-54 years of age,AGEGROUP_YEARS45-54,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,55-64 years of age,AGEGROUP_YEARS55-64,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,65-74 years of age,AGEGROUP_YEARS65-74,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,85+ years,AGEGROUP_YEARS85PLUS,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Male,SEX_MLE,Age Group,15-24 years,AGEGROUP_YEARS15-24,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Male,SEX_MLE,Age Group,25-34 years of age,AGEGROUP_YEARS25-34,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Male,SEX_MLE,Age Group,55-64 years of age,AGEGROUP_YEARS55-64,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Male,SEX_MLE,Age Group,65-74 years of age,AGEGROUP_YEARS65-74,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Male,SEX_MLE,Age Group,75-84 years of age,AGEGROUP_YEARS75-84,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Male,SEX_MLE,Age Group,85+ years,AGEGROUP_YEARS85PLUS,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,15-24 years,AGEGROUP_YEARS15-24,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,55-64 years of age,AGEGROUP_YEARS55-64,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Both sexes,SEX_BTSX,Age Group,65-74 years of age,AGEGROUP_YEARS65-74,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,15-24 years,AGEGROUP_YEARS15-24,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,35-44 years of age,AGEGROUP_YEARS35-44,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,55-64 years of age,AGEGROUP_YEARS55-64,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Female,SEX_FMLE,Age Group,65-74 years of age,AGEGROUP_YEARS65-74,,,,,,,0,,,,,,0,,,EN,2021-07-06T06:00:00.000Z
