"Suicide rates"
"Total, Deaths per 100 000 inhabitants, 2010"
"Category","Total"
"Korea",35
"Lithuania",32.2
"Hungary",24.3
"Japan",21.7
"Latvia",20.1
"Slovenia",19.2
"Belgium",18.2
"Finland",17.6
"Poland",16.3
"France",16.3
"Estonia",16.2
"Iceland",15
"Austria",14.4
"Czechia",13.9
"United States",12.8
"New Zealand",12.4
"Switzerland",12.3
"Chile",12.3
"Sweden",12
"Slovak Rep.",11.6
"Norway",11.4
"Canada",11.3
"Germany",11.2
"Australia",11
"Ireland",10.8
"Luxembourg",10.5
"Denmark",10.1
"Portugal",9.7
"Netherlands",9.4
"Israel",7.5
"Costa Rica",7.4
"United Kingdom",6.7
"Spain",6.5
"Italy",6
"Colombia",5.1
"Mexico",4.8
"Greece",3.2
"Türkiye",2.4
